#TYPE System.Management.Automation.PSCustomObject
"OSSize","UPDSize","Billing","FileVM","MAC","HeartBeat","CPUCount","NettoBackupSize","Tier2Size","OSType","NettoTier3Size","SubscriptionID","NettoFailedSize","FailedSize","NettoVSSSize","Environment","Memory","IaaS","OSName","HWProfile","NettoTier2Size","NettoTier1Size","KvK","Computername","NettoOSSize","NettoUPDSize","Status","ReportFaillure","BackupSize","MachineMetricsDate","DifferencingFound","VMName","VSSSize","Tier1Size","TotalSize","Tier3Size","CreatedTimestamp","IaaSMetricsDate","VMId","PartitionKey","RowKey","TableTimestamp","Etag","Datum"
"23","0","Billable","False","001DD8B73BEE","","2","0","0","Windows","0","cf5bbf0f-7272-45dc-8433-24506b88d752","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ydssp-app1","0","0","24","0","1/28/2018 10:07:47 PM","2018-01-28","c5a5ca69-7b21-4111-a41f-8e1bd6e9f6dd","","005872fb-d3ff-4c45-bbce-8dc646a43ed7","1/28/2018 10:07:48 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A48.0004056Z'""","20180128"
"19","0","Billable","False","001DD8B73BE0","","2","0","0","Windows","0","1804f16f-07d0-45ab-95f6-fd2445f55825","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","dm2016-aad","0","0","19","0","1/28/2018 10:07:03 PM","2018-01-28","60baf5e7-a8b6-4904-ac66-a59e71610ce2","","7a43a65e-f634-4e48-9ea3-edcb6af97b66","1/28/2018 10:07:03 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A03.1244324Z'""","20180128"
"23","0","Non-billable","False","001DD8B73BDF","","8","0","0","Windows","0","1804f16f-07d0-45ab-95f6-fd2445f55825","0","0","0","CS","28672","ITON","Windows Server 2016 Datacenter","D4 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","dm2016-rdsh11","0","0","23","0","1/28/2018 10:07:32 PM","2018-01-28","a88155f0-8490-4995-929c-3e507d41eee0","","154c69d6-fc36-4288-9281-0d8b317ac70d","1/28/2018 10:07:32 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A32.8864912Z'""","20180128"
"32","0","Billable","False","001DD8B73B95","","2","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","3584","ITON","Windows Server 2012 R2 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ior-prn1","0","0","32","0","1/28/2018 10:07:47 PM","2018-01-28","c5721fbc-c6c6-40fe-b38b-02436a2dacbf","","61bc547d-1596-42cc-8b32-1cca70429026","1/28/2018 10:07:47 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A47.7192042Z'""","20180128"
"34","0","Non-billable","False","001DD8B73B88","","2","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","3584","ITON","Windows Server 2012 R2 Datacenter","A2 - Gen2","0","0","","","0","0","Running","True","0","2018-01-20","True","ior-rdsh81","0","0","60","0","1/28/2018 10:07:04 PM","2018-01-28","62d9eda4-7110-40a6-9312-08810ccf21fb","","e6179a5a-7a74-4eaf-9aa9-cbd9e29e0b95","1/28/2018 10:07:04 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A04.0912617Z'""","20180128"
"10","0","Non-billable","False","001DD8B73B89","","8","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","28672","ITON","Windows Server 2012 R2 Datacenter","D4 - Gen2","0","0","","","0","0","Running","True","0","2018-01-20","True","ior-rdsh91","0","0","66","0","1/28/2018 10:06:56 PM","2018-01-28","522d8781-2b06-4b40-8a69-6b2607be14b9","","dacfd9a0-2ad1-4271-9ee2-104a5710ef56","1/28/2018 10:06:56 PM +00:00","W/""datetime'2018-01-28T22%3A06%3A56.2139742Z'""","20180128"
"28","0","Non-billable","False","001DD8B73B83","","2","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","3584","ITON","Windows Server 2012 R2 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ior-isup1","0","0","28","0","1/28/2018 10:07:41 PM","2018-01-28","b8538a91-bbfb-4b0c-9e24-b09d742bb3e9","","4f9ea019-6e10-48ee-b39e-b03d07da339b","1/28/2018 10:07:41 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A41.1167274Z'""","20180128"
"32","0","Non-billable","False","001DD8B73B87","","8","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","28672","ITON","Windows Server 2012 R2 Datacenter","D4 - Gen2","0","0","","","0","0","Running","True","0","2018-01-20","True","ior-rdsh1","0","0","60","0","1/28/2018 10:06:27 PM","2018-01-28","0f9c8d88-9fd7-4022-949d-4c7c4d916bfb","","5852b884-2cbb-459b-b37a-7147de65765b","1/28/2018 10:06:27 PM +00:00","W/""datetime'2018-01-28T22%3A06%3A27.9663869Z'""","20180128"
"21","0","Non-billable","False","001DD8B73BDB","","2","0","0","Windows","0","1804f16f-07d0-45ab-95f6-fd2445f55825","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","dm2016-rash10","0","0","21","0","1/28/2018 10:08:08 PM","2018-01-28","eb8ea0f9-2846-4bbd-aea1-407e249740e4","","b6e79616-d48f-42f1-8d04-cbb77b04b8c7","1/28/2018 10:08:08 PM +00:00","W/""datetime'2018-01-28T22%3A08%3A08.1313263Z'""","20180128"
"24","0","Non-billable","False","001DD8B73B90","","8","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","28672","ITON","Windows Server 2012 R2 Datacenter","D4 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ior-rash3","0","0","24","0","1/28/2018 10:07:29 PM","2018-01-28","9ea3e7d7-d111-4102-be9b-846559fa0045","","04a8c01e-a588-40a1-bd96-e00f49ae45f0","1/28/2018 10:07:29 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A29.9136715Z'""","20180128"
"24","0","Non-billable","False","001DD8B73BCF","","2","0","0","Windows","0","1804f16f-07d0-45ab-95f6-fd2445f55825","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","dm2016-rdgw1","0","0","25","0","1/28/2018 10:06:57 PM","2018-01-28","5580c185-3697-4149-91c7-eda250f763ee","","2b6b412d-1eed-4a8f-b971-618c7ba0dd75","1/28/2018 10:06:57 PM +00:00","W/""datetime'2018-01-28T22%3A06%3A57.9807829Z'""","20180128"
"33","0","Billable","False","001DD8B73BA2","","2","0","15","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","7168","ITON","Windows Server 2012 R2 Datacenter","D2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ior-sql2","0","0","47","0","1/28/2018 10:08:02 PM","2018-01-28","e06a3552-6f4e-4ab8-948d-422b26deebe2","","f1b721df-69a9-4676-873d-3648ca6f7672","1/28/2018 10:08:02 PM +00:00","W/""datetime'2018-01-28T22%3A08%3A02.9365446Z'""","20180128"
"30","0","Billable","False","001DD8B73BF0","","2","0","117","Windows","0","cf5bbf0f-7272-45dc-8433-24506b88d752","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ydssp-scomgw1","0","0","148","0","1/28/2018 10:07:59 PM","2018-01-28","da831285-e999-4e40-8e62-67e2329a51c0","","3d9bcd4d-3daf-41e2-b31b-8e693cbd661a","1/28/2018 10:07:59 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A59.7137126Z'""","20180128"
"23","0","Non-billable","False","001DD8B73BC7","","2","0","0","Windows","0","1804f16f-07d0-45ab-95f6-fd2445f55825","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","dm2016-adds1","0","0","23","0","1/28/2018 10:07:11 PM","2018-01-28","7ac3a4e3-7922-4948-a4b9-8cb6a6fea6df","","06085e33-a539-402c-9b51-c829315f3a70","1/28/2018 10:07:12 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A12.0253887Z'""","20180128"
"30","0","Non-billable","True","001DD8B73BC6","","2","0","3","Windows","0","938696dd-2f3e-45ef-93cb-06e5beb0a7a0","0","0","0","CS","7168","ITON","Windows Server 2016 Datacenter","D2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","bmb-dpm1","0","0","33","0","1/28/2018 10:08:02 PM","2018-01-28","df7bf72b-7bad-4134-bf65-e3684ee12423","","c4a0476f-92e5-4faf-9c5f-480e2e560ed1","1/28/2018 10:08:02 PM +00:00","W/""datetime'2018-01-28T22%3A08%3A02.2004536Z'""","20180128"
"25","0","Non-billable","False","001DD8B73B85","","2","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","3584","ITON","Windows Server 2012 R2 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ior-rdcb1","0","0","25","0","1/28/2018 10:06:47 PM","2018-01-28","3eae083b-fed1-4e92-9c07-4dac9b2c2199","","b9f1e4d4-d657-439c-9c20-42016656d8a3","1/28/2018 10:06:47 PM +00:00","W/""datetime'2018-01-28T22%3A06%3A47.3541591Z'""","20180128"
"25","0","Non-billable","False","001DD8B73BEC","","2","0","0","Windows","0","cf5bbf0f-7272-45dc-8433-24506b88d752","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ydssp-adds2","0","0","26","0","1/28/2018 10:06:39 PM","2018-01-28","2bfba018-eb5f-464d-a14d-1bb65f4ce761","","0756df5b-503f-4628-81f2-0bdd5f4f56cc","1/28/2018 10:06:39 PM +00:00","W/""datetime'2018-01-28T22%3A06%3A39.6318668Z'""","20180128"
"23","0","Non-billable","False","001DD8B73BEB","","2","0","0","Windows","0","cf5bbf0f-7272-45dc-8433-24506b88d752","0","0","0","CS","3584","ITON","Windows Server 2016 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ydssp-adds1","0","0","23","0","1/28/2018 10:06:30 PM","2018-01-28","151dfb59-bbfb-4531-909f-e771d96b7a22","","07cff8ad-4c69-4d37-8448-97f79ffb7cbc","1/28/2018 10:06:29 PM +00:00","W/""datetime'2018-01-28T22%3A06%3A29.875453Z'""","20180128"
"24","0","Non-billable","False","001DD8B73B91","","8","0","0","Windows","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","0","CS","28672","ITON","Windows Server 2012 R2 Datacenter","D4 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","ior-rash4","0","0","24","0","1/28/2018 10:06:41 PM","2018-01-28","30b61064-cb69-4d5d-bfa0-afff2107fe94","","4ff3ed60-bed2-486c-9ffd-b146ca7eb378","1/28/2018 10:06:41 PM +00:00","W/""datetime'2018-01-28T22%3A06%3A41.6777415Z'""","20180128"
"20","0","Non-billable","False","001DD8B73BC2","","2","0","0","Windows","0","938696dd-2f3e-45ef-93cb-06e5beb0a7a0","0","0","0","CS","3584","ITON","Windows Server 2012 R2 Datacenter","A2 - Gen2","0","0","","","0","0","Running","False","0","2018-01-20","False","bmb-rdgw2","0","0","20","0","1/28/2018 10:07:56 PM","2018-01-28","d3550e7f-5df1-4b22-8f4c-b271a61642c8","","c6fa972a-b76c-4daa-b0c1-25a607dd6cad","1/28/2018 10:07:56 PM +00:00","W/""datetime'2018-01-28T22%3A07%3A56.6153869Z'""","20180128"
