#TYPE System.Management.Automation.PSCustomObject
"OSSize","UPDSize","Billing","FileVM","MAC","HeartBeat","CPUCount","NettoBackupSize","Tier2Size","NettoTier3Size","SubscriptionID","FailedSize","NettoVSSSize","Environment","Memory","NettoOSSize","NettoUPDSize","HWProfile","NettoTier2Size","NettoTier1Size","KvK","BackupSize","IaaS","Status","ReportFaillure","NettoFailedSize","MachineMetricsDate","DifferencingFound","VMName","VSSSize","Tier1Size","TotalSize","Tier3Size","Computername","IaaSMetricsDate","VMId","PartitionKey","RowKey","Timestamp","Etag"
"21","0","Non-billable","False","001DD8B735E4","","2","0","0","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","13.13","0","A2 - Gen2","0","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-prxy1","0","0","21","0","ARC-PRXY1","2017-12-05","53d64d35-9938-4b32-b37c-66df6f2a5260","51617390-0000-0000-0000-000000000000","10006257-04b0-470c-a2e5-b2ed80200040","05-Dec-17 10:07:41 PM +00:00","W/""datetime'2017-12-05T22%3A07%3A41.2347573Z'"""
"26","0","Non-billable","False","001DD8B735DC","","2","0","0","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","19.97","0","A2 - Gen2","0","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-rdcb1","0","0","26","0","ARC-RDCB1","2017-12-05","c2183b2d-129c-4d33-b49a-55489375c609","51617390-0000-0000-0000-000000000000","110d7c07-1b45-43bb-9387-a6499dbe5e41","05-Dec-17 10:08:59 PM +00:00","W/""datetime'2017-12-05T22%3A08%3A59.1066349Z'"""
"30","0","Non-billable","False","001DD8B735DB","","2","0","0","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","25.1","0","A2 - Gen2","0","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-isup1","0","0","30","0","ARC-ISUP1","2017-12-05","18c97f0a-2202-45e8-b0a2-0d6f140642f9","51617390-0000-0000-0000-000000000000","1689a6aa-3f90-4e3e-83bd-b6c8d125961b","05-Dec-17 10:06:58 PM +00:00","W/""datetime'2017-12-05T22%3A06%3A58.9585072Z'"""
"32","0","Non-billable","False","001DD8B735D7","","2","0","0","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","30.3","0","A2 - Gen2","0","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-mgt1","0","0","33","0","ARC-MGT1","2017-12-05","9654f813-1416-43d9-ae91-edba605d0e5d","51617390-0000-0000-0000-000000000000","316c7393-330c-46e5-959b-270fcb58bd85","05-Dec-17 10:08:26 PM +00:00","W/""datetime'2017-12-05T22%3A08%3A26.9503867Z'"""
"31","0","Non-billable","False","001DD8B735DA","","2","0","3","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","24.96","0","A2 - Gen2","2.19","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-sql1","0","0","34","0","ARC-SQL1","2017-12-05","f35097c5-0531-458e-a639-5a64e1facce9","51617390-0000-0000-0000-000000000000","373fa620-586c-4bad-9bcd-f22d15c6d34f","05-Dec-17 10:09:37 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A37.1729727Z'"""
"54","0","Billable","False","001DD8B735E5","","4","0","226","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","7168","39.52","0","A3 - Gen2","216.41","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-exch1","0","0","279","0","ARC-EXCH1","2017-12-05","dedfb926-65b4-4e85-8a1d-893fac421046","51617390-0000-0000-0000-000000000000","52eadfd4-4f7f-4147-8b05-a83e751a69fe","05-Dec-17 10:09:22 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A22.2296337Z'"""
"36","0","Non-billable","False","001DD8B735E0","","8","0","0","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","28672","37.05","0","D4 - Gen2","0","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-rdsh91","0","0","36","0","ARC-RDSH91","2017-12-05","e7d2d4f9-f96a-4bd7-89c3-a1e3e8113920","51617390-0000-0000-0000-000000000000","5eeb40b8-1a19-4022-a666-61feed60c014","05-Dec-17 10:09:29 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A29.2985241Z'"""
"19","0","Non-billable","False","001DD8B735D4","","2","0","1","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","14.35","0","A2 - Gen2","1.02","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-adds2","0","0","20","0","ARC-ADDS2","2017-12-05","479912fe-be24-4ee7-a379-80344fe98136","51617390-0000-0000-0000-000000000000","6ef499c2-211e-461a-9074-9c485106bb50","05-Dec-17 10:07:32 PM +00:00","W/""datetime'2017-12-05T22%3A07%3A32.7188658Z'"""
"23","0","Non-billable","False","001DD8B735E2","","2","0","0","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","15.09","0","A2 - Gen2","0","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-rdgw2","0","0","22","0","ARC-RDGW2","2017-12-05","478a9b32-470b-4bb9-82c5-c319436b8b06","51617390-0000-0000-0000-000000000000","75a27ac2-e211-4872-855d-e6c1264e9b0b","05-Dec-17 10:07:32 PM +00:00","W/""datetime'2017-12-05T22%3A07%3A32.42266Z'"""
"19","0","Non-billable","False","001DD8B735DD","","2","0","0","0","eee35d6f-8648-4350-868e-c5490e7a0a25","0","0","CS","3584","14.18","0","A2 - Gen2","0","0","51617390","0","ITON","Running","False","0","2017-12-04","False","arc-rdgw1","0","0","19","0","ARC-RDGW1","2017-12-05","d0f1efb2-8a9b-48b1-a1ed-153af4a29957","51617390-0000-0000-0000-000000000000","7948eb31-ec3e-46ca-b383-d363f2b0f1ef","05-Dec-17 10:09:13 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A13.8148117Z'"""
