#TYPE System.Management.Automation.PSCustomObject
"OSSize","UPDSize","Billing","FileVM","MAC","HeartBeat","CPUCount","NettoBackupSize","Tier2Size","NettoTier3Size","SubscriptionID","FailedSize","NettoVSSSize","Environment","Memory","NettoOSSize","NettoUPDSize","HWProfile","NettoTier2Size","NettoTier1Size","KvK","BackupSize","IaaS","Status","ReportFaillure","NettoFailedSize","MachineMetricsDate","DifferencingFound","VMName","VSSSize","Tier1Size","TotalSize","Tier3Size","Computername","IaaSMetricsDate","VMId","PartitionKey","RowKey","Timestamp","Etag"
"20","0","Non-billable","False","001DD8B73B7E","","4","0","215","0","71f69c43-696d-4f08-aed9-f42a5216649b","0","0","CS","7168","0","0","A3 - Gen2","0","0","","0","ITON","Running","True","0","2017-11-28","False","ior-fs1","0","0","1091","848","","2017-12-05","a97d31a1-825d-4e81-8b8a-4a36e470c9bc","","f60c27c5-7164-4b9a-aa99-909849b26cce","05-Dec-17 10:08:39 PM +00:00","W/""datetime'2017-12-05T22%3A08%3A39.3109387Z'"""
"40","180","Non-billable","False","001DD8B72741","","4","18.92","1546","0","af547fd8-8733-462b-b675-795dddb9d93e","0","86.22","CS","7168","20.05","119.38","A3 - Gen2","1148.1","0","6079119","19","ITON","Running","False","0","2017-12-04","False","sportl-fs1","118","0","1604","0","SPORTL-FS1","2017-12-05","07a797e3-98da-45bf-b284-12696c12b2f0","06079119-0000-0000-0000-000000000000","f64278e5-ef5f-4a1c-8df5-95fbb6fa14fa","05-Dec-17 10:06:45 PM +00:00","W/""datetime'2017-12-05T22%3A06%3A45.5312167Z'"""
"38","648","Non-billable","False","001DD8B723E0","","4","0","1332","0","113c2315-8dff-4921-ae71-ae2e7a8e0c5c","0","0","CS","7168","0","0","A3 - Gen2","0","0","8036357","0","ITON","Running","False","0","2017-12-04","False","abo-fs1","0","21","4358","2967","","2017-12-05","f759a08d-be9d-4154-b674-220ab5422b31","08036357-0000-0000-0000-000000000000","cc08fe87-e58e-4d91-b4df-550b610338a1","05-Dec-17 10:09:40 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A40.1250152Z'"""
"19","1605","Non-billable","False","001DD8B732F5","","4","0","4119","0","15c3cb25-d08a-4ba9-8a5a-16d71811d5a1","0","34.36","CS","7168","17","1105.4","A3 - Gen2","1139.76","0","09060409","0","ITON","Running","False","0","2017-12-04","False","vhg-fs1","550","0","4138","0","VHG-FS1","2017-12-05","287fb907-c6b8-4fa4-911e-4a2194e1ab30","09047601-0000-0000-0000-000000000000","f98b591a-6310-4fd8-a51d-fe09b6b24d7f","05-Dec-17 10:07:10 PM +00:00","W/""datetime'2017-12-05T22%3A07%3A10.8907634Z'"""
"26","189","Non-billable","False","001DD8B736DF","","4","0","1983","0","70440c0d-e22b-45b7-9688-808f63dc941b","0","60.07","CS","7168","18.61","183.45","A3 - Gen2","1720.39","0","10020986","0","ITON","Running","False","0","2017-12-04","False","vwgn-fs1","165","0","2009","0","VWGN-FS1","2017-12-05","abc6826d-baa3-43e7-9828-4016c67a81d1","10020986-0000-0000-0000-000000000000","747bacd0-2242-4bec-8a20-bef55f06d8f4","05-Dec-17 10:08:41 PM +00:00","W/""datetime'2017-12-05T22%3A08%3A41.0461397Z'"""
"21","109","Non-billable","False","001DD8B729C1","","4","0","853","0","10c7b57e-5265-4cec-b75c-db18c84b09de","0","0","CS","7168","0","0","A3 - Gen2","0","0","24241024","0","ITON","Running","False","0","2017-12-05","False","vry-fs1","0","0","874","0","VRY-FS1","2017-12-05","cd9d0a00-73bc-4612-ae67-0f4e0bde9135","24241024-0000-0000-0000-000000000000","57fb92a9-25a9-4269-9117-d490eacb7bc3","05-Dec-17 10:09:11 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A11.8934819Z'"""
"20","59","Non-billable","False","001DD8B725A1","","4","0","397","0","af2a3d67-f53f-4eb2-87d9-a629a155f2f2","0","16.47","CS","7168","19.99","60.81","A3 - Gen2","364.69","0","24352849","0","ITON","Running","False","0","2017-12-04","False","dq-fs1","27","0","417","0","DQ-FS1","2017-12-05","31989dbe-03db-4c93-ae6e-aaee849f8cc2","24352849-0000-0000-0000-000000000000","6f70837f-7926-422c-9849-b5e368dcc3b5","05-Dec-17 10:07:16 PM +00:00","W/""datetime'2017-12-05T22%3A07%3A16.1654124Z'"""
"24","65","Non-billable","False","001DD8B72616","","4","0","481","0","c7e3bc94-dfd1-4ceb-b0b8-41515e91c13c","0","6.46","CS","7168","22.92","76.33","A3 - Gen2","373.44","0","27142237","0","ITON","Running","False","0","2017-12-04","False","vo-fs1","3","0","504","0","VO-FS1","2017-12-05","5eb3deed-a441-4095-bbfa-88a23fa416a7","27142237-0000-0000-0000-000000000000","7a0477a0-51b8-4cd4-b253-6172ad3c35aa","05-Dec-17 10:07:49 PM +00:00","W/""datetime'2017-12-05T22%3A07%3A49.5294985Z'"""
"19","188","Non-billable","False","001DD8B71F83","","2","0","1539","0","3b52949b-69e2-4cbd-830d-c6e1a9a2a4d2","0","37.82","CS","3584","17.86","145.92","A2 - Gen2","976.97","0.67","27230374","0","ITON","Running","False","0","2017-12-04","False","old-fs1","235","1","1559","0","OLD-FS1","2017-12-05","d3c56cc5-3afb-49b1-95f4-5539537b704e","27230374-0000-0000-0000-000000000000","e317862d-c968-428d-b46c-f415d8436294","05-Dec-17 10:09:15 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A15.7591569Z'"""
"25","226","Non-billable","False","001DD8B71F98","","4","0","608","0","0d4b8e85-3bc2-464a-add8-9fe37bdf0c7c","0","0","CS","7168","0","0","A3 - Gen2","0","0","28033493","0","ITON","Running","False","0","2017-12-04","False","agf-fs1","0","1069","1702","0","","2017-12-05","07b4fc4d-8a29-463e-9e69-f231221e43ea","28033493-0000-0000-0000-000000000000","11377826-d929-4ec8-9bb2-706e4bf90cb5","05-Dec-17 10:06:45 PM +00:00","W/""datetime'2017-12-05T22%3A06%3A45.832426Z'"""
"19","124","Non-billable","False","001DD8B72CD4","","2","0","747","0","0b6c7b2f-d67f-42c0-8ac6-2ccc678c3bbf","0","7.33","CS","7168","16.85","107.72","D2 - Gen2","599.52","0","30160207","0","ITON","Running","False","0","2017-12-04","False","ddp-fs1","7","0","766","0","DDP-FS1","2017-12-05","faf14791-32d6-45c9-8b2d-104e45643142","30160207-0000-0000-0000-000000000000","cf77223b-0435-412c-a10e-b06fa169b744","05-Dec-17 10:09:43 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A43.3472446Z'"""
"36","269","Non-billable","False","001DD8B72B0C","","2","0","1161","0","85cd1ccc-776f-412e-b395-2ffa444d3831","0","0","CS","8192","0","0","Other","0","0","34125900","0","ITON","Running","False","0","2017-12-05","False","swdv-fs1","0","0","1196","0","SWDV-FS1","2017-12-05","e2f3d4fb-db32-491c-822f-03038b41b3ce","34125900-0000-0000-0000-000000000000","3a4bd938-1012-404d-b10d-595816aed62e","05-Dec-17 10:09:24 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A24.7283625Z'"""
"29","115","Non-billable","False","001DD8B72928","","2","0","744","0","b7030f13-7a00-4976-975a-26e33168ebce","0","10.84","CS","3584","24.92","77.47","A2 - Gen2","400.21","0","34185448","0","ITON","Running","False","0","2017-12-04","False","sse-fs1","198","0","773","0","SSE-FS1","2017-12-05","d6b7b394-58ad-4ab4-a828-951d76f65cfb","34185448-0000-0000-0000-000000000000","432292d0-f47c-407d-8b42-b456e857f7d8","05-Dec-17 10:09:17 PM +00:00","W/""datetime'2017-12-05T22%3A09%3A17.2081599Z'"""
"23","232","Non-billable","False","001DD8B72A7D","","2","0","625","0","84575042-86f9-407d-99e4-541c1cd71510","0","6.75","CS","7168","19.78","212.11","D2 - Gen2","440.52","0","34200785","0","ITON","Running","False","0","2017-12-04","False","jck-fs1","8","0","647","0","JCK-FS1","2017-12-05","abc9ded7-4611-4c00-a1ee-6031efd7001e","34200785-0000-0000-0000-000000000000","e2261613-68ed-4c42-8c5f-0d50243bf7d3","05-Dec-17 10:08:41 PM +00:00","W/""datetime'2017-12-05T22%3A08%3A41.3013158Z'"""
